model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: kdeformer                     , fid: 30.62351607644115, is_mean_fake: 56.50687789916992, is_std_fake: 3.784808874130249
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: kdeformer                     , fid: 30.454440977502827, is_mean_fake: 56.38154220581055, is_std_fake: 3.936239004135132
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: kdeformer                     , fid: 30.498193086326637, is_mean_fake: 56.7702751159668, is_std_fake: 4.229380130767822
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: kdeformer                     , fid: 30.644953730851626, is_mean_fake: 56.99592208862305, is_std_fake: 3.773831605911255
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: kdeformer                     , fid: 30.72316376255003, is_mean_fake: 56.454261779785156, is_std_fake: 2.8358938694000244
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: sblocal                       , fid: 38.470774957953154, is_mean_fake: 36.8358268737793, is_std_fake: 2.900254964828491
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: sblocal                       , fid: 39.05255263134154, is_mean_fake: 36.162437438964844, is_std_fake: 3.6596200466156006
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: sblocal                       , fid: 38.614060294881426, is_mean_fake: 36.328216552734375, is_std_fake: 3.5160202980041504
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: sblocal                       , fid: 39.15202257776002, is_mean_fake: 36.542724609375, is_std_fake: 3.3448047637939453
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: sblocal                       , fid: 39.020120587406154, is_mean_fake: 36.84409713745117, is_std_fake: 2.6640172004699707
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: reformer                      , fid: 72.11342261581751, is_mean_fake: 19.145099639892578, is_std_fake: 2.1273281574249268
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: reformer                      , fid: 71.89737199896274, is_mean_fake: 19.760038375854492, is_std_fake: 2.9227535724639893
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: reformer                      , fid: 71.95724024950584, is_mean_fake: 19.33443832397461, is_std_fake: 2.43943190574646
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: reformer                      , fid: 72.43997638600337, is_mean_fake: 19.204845428466797, is_std_fake: 2.8543591499328613
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: reformer                      , fid: 72.01318386317666, is_mean_fake: 19.192462921142578, is_std_fake: 2.287386655807495
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: performer                     , fid: 33.40655663360354, is_mean_fake: 38.3469352722168, is_std_fake: 2.8381736278533936
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: performer                     , fid: 33.586341503856715, is_mean_fake: 36.94158935546875, is_std_fake: 2.6425492763519287
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: performer                     , fid: 33.57189498127286, is_mean_fake: 36.89527130126953, is_std_fake: 2.3588759899139404
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: performer                     , fid: 33.3995777429941, is_mean_fake: 37.47196960449219, is_std_fake: 2.2836337089538574
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: performer                     , fid: 33.24000527708421, is_mean_fake: 37.753135681152344, is_std_fake: 2.8096909523010254
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: exact                         , fid: 32.17533299016196, is_mean_fake: 58.38193893432617, is_std_fake: 4.229685306549072
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: exact                         , fid: 31.87175320825702, is_mean_fake: 57.70325469970703, is_std_fake: 3.8371150493621826
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: exact                         , fid: 32.224049409426584, is_mean_fake: 57.67413330078125, is_std_fake: 3.1687889099121094
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: exact                         , fid: 32.170060768745714, is_mean_fake: 57.607208251953125, is_std_fake: 3.392726182937622
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: exact                         , fid: 32.32198677547149, is_mean_fake: 57.58550262451172, is_std_fake: 3.2375259399414062
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: thinformer                    , fid: 30.537291426954823, is_mean_fake: 57.137779235839844, is_std_fake: 3.9716475009918213
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: thinformer                    , fid: 30.169627200599052, is_mean_fake: 56.68467330932617, is_std_fake: 3.219670057296753
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: thinformer                    , fid: 30.55599017230702, is_mean_fake: 56.499961853027344, is_std_fake: 3.4858810901641846
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: thinformer                    , fid: 30.702971348670815, is_mean_fake: 56.646751403808594, is_std_fake: 3.9305171966552734
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: thinformer                    , fid: 30.681797808756983, is_mean_fake: 56.80775833129883, is_std_fake: 3.624875068664551
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 1, attention: compressformer_r96_b8         , fid: 31.760190781491985, is_mean_fake: 57.63873291015625, is_std_fake: 4.055901050567627
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 2, attention: compressformer_r96_b8         , fid: 31.551773744264096, is_mean_fake: 56.81450653076172, is_std_fake: 3.246511220932007
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 3, attention: compressformer_r96_b8         , fid: 31.680538865729375, is_mean_fake: 56.9720458984375, is_std_fake: 3.194859743118286
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 4, attention: compressformer_r96_b8         , fid: 31.695859016583654, is_mean_fake: 57.413726806640625, is_std_fake: 3.3993542194366455
model: biggan-deep-512, data_per_class: 5, num_splits: 10, seed: 5, attention: compressformer_r96_b8         , fid: 31.915436417017645, is_mean_fake: 56.93553924560547, is_std_fake: 2.9467873573303223
